"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"W0019E","3D grafik","50% Lp3 Skellefteå","37774-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q003gZ6y5Y355976Y76Y.json"
"FOR044A","Academic Publishing","","FOR044A-H23.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ710Z50Qv2Q033gZ6y5Y955576Y76Y.json"
"FOR44F","Academic publishing","","FOR44F","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ790Z50Qv0Q073gZ6y5Y055576Y76Y.json"
"T7027T","Additiv Tillverkning - Process, Material, Produkt","50% Lp4 Luleå","48044-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q043gZ6y5Y355376Y76Y.json"
"F0037T","Aerodynamik","50% Lp2 Luleå 6","28034-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q093gZ6y5Y955476Y76Y.json"
"I0018N","Affärer och digitalt entreprenörskap","50% Lp2 Ortsoberoende","27009-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q073gZ6y5Y955376Y76Y.json"
"I0018N","Affärer och digitalt entreprenörskap","50% Lp2 Luleå","27664-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q073gZ6y5Y955276Y76Y.json"
"E0008N","Affärsmodellsutveckling","50% Lp2 Luleå 1+3","20223-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q083gZ6y5Y955976Y76Y.json"
"E0011N","Affärsplanering och nyföretagande","50% Lp2 Luleå 4+5","20232-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y955976Y76Y.json"
"D0026E","Affärssystem - ERP","50% Lp3 Ortsoberoende","37003-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q043gZ6y5Y255276Y76Y.json"
"D0026E","Affärssystem - ERP","50% Lp3 Luleå","37765-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q043gZ6y5Y255176Y76Y.json"
"S0061A","Aktuell sociologisk forskning","50% Lp2 Luleå 1+4","20208-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q003gZ6y5Y955176Y76Y.json"
"L0011A","Akustik för ljudproduktion","50% Lp2 Piteå C, D","25883-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y955376Y76Y.json"
"M0062M","Algebra och euklidisk geometri","50% Lp2 Luleå","28822-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q003gZ6y5Y955376Y76Y.json"
"D0012E","Algoritmer och datastrukturer","50% Lp2 Luleå 3+5","27686-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q043gZ6y5Y855976Y76Y.json"
"D7009E","Algoritmer","50% Lp3 Luleå 2+4","37790-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q053gZ6y5Y355276Y76Y.json"
"D0241G","Allmän fördjupning 2","25% Lp3-4 Piteå","30650-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q003gZ6y5Y355976Y76Y.json"
"J0032N","Allmän rättslära med rättshistoria och rättsfilosofi","100% Lp3 Luleå","30676-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q053gZ6y5Y355376Y76Y.json"
"O7084H","Ambulanssjukvård, verksamhetsförlagd utbildning I","50% Lp2 Luleå","23636-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q013gZ6y5Y955576Y76Y.json"
"O7085H","Ambulanssjukvård, verksamhetsförlagd utbildning II","50% Lp3 Luleå","33275-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q083gZ6y5Y355376Y76Y.json"
"O7086H","Ambulanssjukvård, verksamhetsförlagd utbildning III","50% Lp4 Luleå","43558-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q033gZ6y5Y355776Y76Y.json"
"M7026M","Analysens grunder","50% Lp1 Luleå 2","18293-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q093gZ6y5Y855976Y76Y.json"
"M7026M","Analysens grunder","50% Lp1 Ortsoberoende 2","18350-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q063gZ6y5Y955776Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.1","Grupp 1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q023gZ6y5Y455976Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.2","Grupp 2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q023gZ6y5Y455876Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.3","Grupp 3","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q023gZ6y5Y455676Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.4","Grupp 4","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q023gZ6y5Y455776Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.5","Grupp A","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q033gZ6y5Y455676Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.6","Grupp B","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q033gZ6y5Y455576Y76Y.json"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q003gZ6y5Y355376Y76Y.json"
